Insee - Statistiques locales; ; ; ; ; 
Référentiel géographique : France par commune; ; ; ; ; 
Code;Libellé;Part des actifs occupés de 15 ans ou plus  les transports en commun 2021;Part des ménages ayant au moins 1 voiture 2021;Part des actifs occ 15 ans ou plus voiture pour travailler 2021;Part des actifs occ 15 ans ou plus vélo pour travailler 2021
01406;Servignat;0;97.5;87.5;0
01407;Seyssel;3.9;89.6;81.7;1.3
01408;Simandre-sur-Suran;2.4;95.3;89.7;0.3
01410;Sonthonnax-la-Montagne;1.9;97.4;90.9;0
01411;Souclin;0;95.4;93.3;0
01412;Sulignat;0.3;98.5;88;0.6
01415;Talissieu;2.8;96.7;92.9;0
01416;Tenay;7.7;84.1;77.6;0
01418;Thil;9.9;98.3;81.6;1.2
01419;Thoiry;7.3;94.9;79.7;2.7
01420;Thoissey;5.5;82.8;77;1.7
01421;Torcieu;5.9;92;82.1;4.9
01422;Tossiat;0.6;94.8;91.5;0.5
01423;Toussieux;4.6;98.9;90.4;0.3
01424;Tramoyes;7.2;98.1;86.7;0.1
01425;La Tranclière;3.5;99.2;87.2;1.4
01426;Val-Revermont;1.4;94.8;87.5;0.8
01427;Trévoux;6.8;90.7;82.3;0.8
01428;Valeins;4.7;97.8;87.5;0
01429;Vandeins;2.8;96.5;91.1;0
01430;Varambon;2.9;95.6;92.3;0
01431;Vaux-en-Bugey;4.8;95.3;86.3;1.1
01432;Verjon;2.2;92.6;93.8;0.9
01433;Vernoux;1.3;100;67.4;0
01434;Versailleux;7.9;98.3;82.2;0
01435;Versonnex;6.6;97.7;82.7;3.3
01436;Vesancy;1.5;97.4;89.7;1.9
01437;Vescours;0;97.8;93.3;0
01439;Vésines;2;100;90;0
01441;Vieu-d'Izenave;0.3;97.2;85.6;0.3
01443;Villars-les-Dombes;16.2;89;72.8;1.5
01444;Villebois;3.7;94.5;90.3;0.2
01445;Villemotier;1.7;97.4;86.1;0.3
01446;Villeneuve;3.7;97;88.7;0.1
01447;Villereversure;2;93.9;86.9;0.6
01448;Villes;10.1;94.6;82.2;0
01449;Villette-sur-Ain;4.6;95.4;87.1;0
01450;Villieu-Loyes-Mollon;9.8;96.5;81.3;0.9
01451;Viriat;3.6;93.9;86.7;2.6
01452;Virieu-le-Grand;8.2;89.8;78.3;0.9
01453;Arvière-en-Valromey;10.1;93.2;76.9;4.9
01454;Virignin;6.7;96.9;86.3;1.4
01456;Vongnes;3.4;86.1;86.2;0
01457;Vonnas;2.4;90.6;81;2.1
02001;Abbécourt;1.8;93.9;91.4;0
02002;Achery;1.6;94.2;92.8;0.4
02003;Acy;2.2;91.4;91.3;0.7
02004;Agnicourt-et-Séchelles;2.8;91.3;83.1;0
02005;Aguilcourt;2.1;97.3;89.4;0
02006;Aisonville-et-Bernoville;0;88.1;91.8;1.8
02007;Aizelles;0;92.2;94.3;0
02008;Aizy-Jouy;1.4;96.8;90.6;0
02009;Alaincourt;1.5;94.5;91.1;0.5
02010;Allemant;1.3;100;94.8;0
02011;Ambleny;2.6;95;89.4;0.6
02012;Ambrief;2.6;96.4;79.5;0
02013;Amifontaine;7.7;93.9;77.7;1.1
02014;Amigny-Rouy;1.4;95.9;92.8;0.7
02015;Ancienville;0;100;94.3;0
02016;Andelain;4.4;96.5;86.8;0
02017;Anguilcourt-le-Sart;1.8;96.1;84.2;1.5
02018;Anizy-le-Grand;4.9;88.3;85.3;1.2
02019;Annois;3.7;93;88.2;2.2
02020;Any-Martin-Rieux;1.7;90.6;88.8;1.1
02021;Archon;0;82.1;84.4;0
02022;Arcy-Sainte-Restitue;2;95.1;90;0
02023;Armentières-sur-Ourcq;3.9;100;86.3;0
02024;Arrancy;9.5;85.7;81;0
02025;Artemps;1.8;95.7;95.2;0
02027;Assis-sur-Serre;2.2;91.9;90.3;0
02028;Athies-sous-Laon;0.7;91.6;93.2;0.6
02029;Attilly;3.9;94.9;90.4;0
02030;Aubencheul-aux-Bois;0;90.4;92.1;0
02031;Aubenton;0.4;86.1;86.3;0.4
02032;Aubigny-aux-Kaisnes;1;89.6;89.2;0
02033;Aubigny-en-Laonnois;2;95.9;88.2;0
02034;Audignicourt;0;88.6;97.6;0
02035;Audigny;0;90.2;91.6;0
