Insee - Statistiques locales; ; ; 
Référentiel géographique : France par commune; ; ; 
Code;Libellé;Nb de ménages fiscaux 2021;Médiane du niveau de vie 2021
02217;Coucy-le-Château-Auffrique;387;22120
02218;Coucy-lès-Eppes;256;22440
02219;Coucy-la-Ville;70;20440
02220;Coulonges-Cohan;180;22040
02221;Coupru;58;24820
02222;Courbes;N/A - résultat non disponible;N/A - résultat non disponible
02223;Courboin;124;21900
02224;Courcelles-sur-Vesle;137;21440
02225;Courchamps;N/A - résultat non disponible;N/A - résultat non disponible
02226;Courmelles;788;22730
02227;Courmont;54;22630
02228;Courtemont-Varennes;126;21750
02229;Courtrizy-et-Fussigny;N/A - résultat non disponible;N/A - résultat non disponible
02230;Couvrelles;74;21890
02231;Couvron-et-Aumencourt;364;20170
02232;Coyolles;82;22930
02233;Cramaille;58;22370
02234;Craonne;N/A - résultat non disponible;N/A - résultat non disponible
02235;Craonnelle;51;20300
02236;Crécy-au-Mont;130;20610
02237;Crécy-sur-Serre;589;20300
02238;Crépy;722;20740
02239;Crézancy;461;20650
02240;Croix-Fonsomme;87;21140
02241;La Croix-sur-Ourcq;N/A - résultat non disponible;N/A - résultat non disponible
02242;Crouttes-sur-Marne;258;23730
02243;Crouy;1292;20820
02244;Crupilly;N/A - résultat non disponible;N/A - résultat non disponible
02245;Cuffies;684;21430
02246;Cugny;240;21670
02248;Cuirieux;57;18830
02249;Cuiry-Housse;43;23420
02250;Cuiry-lès-Chaudardes;N/A - résultat non disponible;N/A - résultat non disponible
02251;Cuiry-lès-Iviers;N/A - résultat non disponible;N/A - résultat non disponible
02252;Cuissy-et-Geny;N/A - résultat non disponible;N/A - résultat non disponible
02253;Cuisy-en-Almont;150;24260
02254;Cutry;51;24460
02255;Cys-la-Commune;59;20660
02256;Dagny-Lambercy;50;20490
02257;Dallon;180;27180
02258;Dammard;151;22140
02259;Dampleux;156;25610
02260;Danizy;249;19930
02261;Dercy;169;21950
02262;Deuillet;86;22500
02263;Dhuizel;46;23820
02264;Dizy-le-Gros;299;19340
02265;Dohis;N/A - résultat non disponible;N/A - résultat non disponible
02266;Dolignon;N/A - résultat non disponible;N/A - résultat non disponible
02267;Dommiers;115;23120
02268;Domptin;268;24440
02269;Dorengt;54;21180
